,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price,block_timestamp,gas_cost,gas_cost_usd
10,333,0x66ee5fb74a22f016c091bf5abe69fba8dab564078213433168ea228e3ebd4aa9,0,60,0x93f5b204e0d7061c197c8be342fb0cfb59c0675d,0x4945ce2d1b5bd904cac839b7fdabafd19cab982b,144050275489866000,21000,13605929054,0x,5392293,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,13605929054,13605929054,2,13605929054,1656893108,13.605929054,0.3049183539196618
11,334,0x6f7372280e8e81c28c0cdc69f6ca874a6b38a83aec1f91ce08f52d4ec3edfe4b,71733,6,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,20231,600000,107528864256,0x,672321,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,190623722655,98092980196,2,107528864256,1656893108,107.528864256,68.9051296082757
12,334,0x6f7372280e8e81c28c0cdc69f6ca874a6b38a83aec1f91ce08f52d4ec3edfe4b,71733,6,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,0x6046945c5b5ef5933b8e73a98a6ad7bf3e031df7,20231,600000,107528864256,0x,672321,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,190623722655,98092980196,2,107528864256,1656893108,107.528864256,68.85133712696923
13,335,0x1d9751de6a9aea35b71c82e997fe9a2566af31efae6e860e484799620a99fe42,25,70,0xe586d372382f59c1135c0916448bb7ce1d364829,0x38197ec11c097736f1139ccfca96830e9769ec28,0,224995,13040415029,0x6a7612020000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d00000000000000000000000000000000000000000000000002c68af0bb1400000000000000000000000000000000000000000000000000000000000000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026000000000000000000000000000000000000000000000000000000000000000e4b6f9de950000000000000000000000000000000000000000000020511ff708f6eb6d527a000000000000000000000000000000000000000000000000000000000000008000000000000000000000000038197ec11c097736f1139ccfca96830e9769ec2800000000000000000000000000000000000000000000000000000181c69fbd010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000006f92357f3c70bba47c6e255fd0b39345f1a0e39c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000827d88cc4e6839fc25f86b0735ddf30da2bca1bfc4fdb8d94f4df149d86a74e3bc7ce5ee8b55767db70ad0020e1a32ec730b58f7dc52bffbfe8db395431f32dc731c3c4be81e68a89e7f6de1c05413ec46e756082dd4496cfdb5550da26cb558e2017c2f25635d6e3aca1635e9e5599b373bc9fb88cf70494465138c8f1adf8ae8c01c000000000000000000000000000000000000000000000000000000000000,6222130,196400,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,13040415029,13040415029,2,13040415029,1656893108,13.040415029,3.1335709002128795
14,335,0x1d9751de6a9aea35b71c82e997fe9a2566af31efae6e860e484799620a99fe42,25,70,0xe586d372382f59c1135c0916448bb7ce1d364829,0x38197ec11c097736f1139ccfca96830e9769ec28,0,224995,13040415029,0x6a7612020000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d00000000000000000000000000000000000000000000000002c68af0bb1400000000000000000000000000000000000000000000000000000000000000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026000000000000000000000000000000000000000000000000000000000000000e4b6f9de950000000000000000000000000000000000000000000020511ff708f6eb6d527a000000000000000000000000000000000000000000000000000000000000008000000000000000000000000038197ec11c097736f1139ccfca96830e9769ec2800000000000000000000000000000000000000000000000000000181c69fbd010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000006f92357f3c70bba47c6e255fd0b39345f1a0e39c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000827d88cc4e6839fc25f86b0735ddf30da2bca1bfc4fdb8d94f4df149d86a74e3bc7ce5ee8b55767db70ad0020e1a32ec730b58f7dc52bffbfe8db395431f32dc731c3c4be81e68a89e7f6de1c05413ec46e756082dd4496cfdb5550da26cb558e2017c2f25635d6e3aca1635e9e5599b373bc9fb88cf70494465138c8f1adf8ae8c01c000000000000000000000000000000000000000000000000000000000000,6222130,196400,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,13040415029,13040415029,2,13040415029,1656893108,13.040415029,3.1311246011487825
15,336,0xc9f4a1b45580ce043c1ccac52c5997e664ad56484ad5ddcbc76de4de39d8168b,35027,18,0x56f03dbc2d16f4a252a7176e1fc3f05b53c6aad5,0x56f03dbc2d16f4a252a7176e1fc3f05b53c6aad5,9223,300000,37208305436,0x,1554783,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,65801755630,27772421376,2,37208305436,1656893108,37.208305436,11.921650648462187
16,336,0xc9f4a1b45580ce043c1ccac52c5997e664ad56484ad5ddcbc76de4de39d8168b,35027,18,0x56f03dbc2d16f4a252a7176e1fc3f05b53c6aad5,0x56f03dbc2d16f4a252a7176e1fc3f05b53c6aad5,9223,300000,37208305436,0x,1554783,21000,,,1,15072727,0xa9cba492bba53e2921f827f99c29a5798048d6b950954be7535cf68aa29b9a21,65801755630,27772421376,2,37208305436,1656893108,37.208305436,11.912343719162502
17,1040,0xb3989ce4cdbacaf39268b1a03bd867dd033bbdd9c951c2ed3d1c5eec985d7854,1940,0,0x10ce4cd51b9e95be1c8a9bc665d3ebdfa9762529,0x4b9a093d47ad79941968ba0f33dddc8c57fe8c63,15072728,274529,56391615449,0x0000000000000000000000030000000000025abbee1a3f9be6fc0100990088e6a0c2ddd26feeb64f039a2c41296fcb3f564001030000000000000000000acb13ec8e01005d0099ac8ca7087fa4a2a1fb6357269965a2014abc350088e6a0c2ddd26feeb64f039a2c41296fcb3f564003000000000000000000000e6360cc000021004585fe77225b41b697c938b018e2ac67ac5a20c00099ac8ca7087fa4a2a1fb6357269965a2014abc35014585fe77225b41b697c938b018e2ac67ac5a20c0000000025a8d295078efc281,228774,228774,,,1,15072728,0xa089fb1aafe777b53ef77e4c452474ade41628ef9d3a5db5e7f165b6a683bb18,56391615449,56391615449,2,56391615449,1656893128,56.391615449,16.51850212509484
18,1039,0x63dc6cf35c4a74552838e0dd64c17c3f5cebd9107766f509cdf4262ba75a2037,4,19,0xea911fb76e609d360f0100aeddeedc24e41e94f9,0x45fce4c710f864c6cea6402634695dfdfd15da5f,423313313370169970,25200,18412568907,0x,1742234,21000,,,1,15072728,0xa089fb1aafe777b53ef77e4c452474ade41628ef9d3a5db5e7f165b6a683bb18,40000000000,8000000000,2,18412568907,1656893128,18.412568907,0.495088484951991
19,1038,0x87108c54434b5ed343993992e772b3a8119bc7bdbc410f7aaeb5577b829c3b72,22954,108,0x777d4627e31863b2a49e2985af46525f21a9846c,0xf235169b52a0cbf1541acc9431de2dbf6ac12141,1320000000000000,21000,12000000000,0x,8590319,21000,,,1,15072728,0xa089fb1aafe777b53ef77e4c452474ade41628ef9d3a5db5e7f165b6a683bb18,12000000000,12000000000,2,12000000000,1656893128,12.0,0.26888615458963505
